nombre,cantidad,anio
Maria,496,1925
Jose,375,1925
Rosa,358,1925
Maria Esther,251,1925
Carmen,230,1925
Ana,217,1925
Maria Luisa,215,1925
Antonio,211,1925
Francisco,204,1925
Juana,199,1925
Angela,181,1925
Maria Elena,178,1925
Juan,176,1925
Isabel,170,1925
Catalina,160,1925
Teresa,158,1925
Nelida,155,1925
Juan Carlos,154,1925
Margarita,151,1925
Elena,151,1925
Pedro,149,1925
Josefa,143,1925
Luisa,135,1925
Luis,135,1925
Maria Angelica,125,1925
Antonia,123,1925
Manuel,122,1925
Francisca,120,1925
Ana Maria,117,1925
Sara,116,1925
Ramona,114,1925
Maria Teresa,111,1925
Miguel,109,1925
Elvira,107,1925
Elsa,107,1925
Maria Rosa,106,1925
Alberto,106,1925
Olga,101,1925
Julia,100,1925
Enrique,99,1925
Carlos Alberto,98,1925
Josefina,95,1925
Roberto,94,1925
Delia,94,1925
Carlos,92,1925
Yolanda,89,1925
Dora,88,1925
Maria Del Carmen,84,1925
Maria Antonia,83,1925
Amelia,82,1925
Angel,80,1925
Vicente,79,1925
Maria Isabel,78,1925
Eduardo,78,1925
Mercedes,77,1925
Ramon,76,1925
Esther,75,1925
Victoria,74,1925
Lucia,74,1925
Domingo,72,1925
Jose Maria,71,1925
Concepcion,71,1925
Haydee,70,1925
Jorge,69,1925
Elisa,69,1925
Amalia,67,1925
Mario,67,1925
Alicia,66,1925
Raquel,66,1925
Dolores,64,1925
Emilia,64,1925
Ricardo,63,1925
Ines,63,1925
Lidia,62,1925
Adela,61,1925
Maria Magdalena,60,1925
Irma,60,1925
Alfredo,60,1925
Magdalena,59,1925
Nicolás,59,1925
Juan Jose,58,1925
Aida,57,1925
Julio,57,1925
Dominga,56,1925
Matilde,56,1925
Juan Antonio,56,1925
Irene,54,1925
Miguel Angel,53,1925
Clara,53,1925
Emma,53,1925
Hector,52,1925
Andres,52,1925
Celia,52,1925
Vicenta,51,1925
Juan Bautista,50,1925
Angelica,50,1925
Zulema,50,1925
Filomena,50,1925
Oscar,49,1925
Pilar,49,1925
Leonor,49,1925
Manuela,49,1925
Maria Mercedes,48,1925
Raul,48,1925
Felisa,48,1925
Ernesto,48,1925
Maria Angela,46,1925
Rafael,46,1925
Adelina,46,1925
Susana,46,1925
Alejandro,46,1925
Aurora,44,1925
Paulina,44,1925
Sofia,44,1925
Herminia,44,1925
Salvador,43,1925
Humberto,41,1925
Maria Josefa,41,1925
Maria Ines,41,1925
Laura,40,1925
Aurelia,40,1925
Felix,40,1925
Jose Antonio,40,1925
Petrona,39,1925
Rosario,39,1925
Eva,38,1925
María Dolores,38,1925
Maria Carmen,38,1925
Martin,37,1925
Cristina,37,1925
Elida,37,1925
Nelida Esther,37,1925
Rosalia,37,1925
Marta,36,1925
Elias,36,1925
Ida,36,1925
Adolfo,36,1925
Beatriz,36,1925
Blanca Rosa,35,1925
Osvaldo,35,1925
José Luis,35,1925
Roque,34,1925
Luis Alberto,34,1925
Santiago,34,1925
Tomasa,33,1925
Elba,33,1925
David,33,1925
Maria Juana,32,1925
Gregoria,32,1925
Maria Elisa,32,1925
Martina,32,1925
Gabriel,32,1925
Berta,31,1925
Victor,31,1925
Ignacio,31,1925
Marcelina,31,1925
Emilio,30,1925
Argentina,30,1925
Blanca Esther,30,1925
Jesus,30,1925
Genoveva,29,1925
Eugenia,29,1925
Felipe,29,1925
Gregorio,29,1925
Carolina,29,1925
Celina,29,1925
Pablo,28,1925
Elda,28,1925
Rodolfo,27,1925
Rita,27,1925
Jorge Alberto,27,1925
Esteban,26,1925
Ofelia,26,1925
Carmela,26,1925
Paula,26,1925
Encarnacion,26,1925
Jacobo,26,1925
Agustin,26,1925
Agustina,26,1925
Enriqueta,26,1925
Regina,26,1925
Maria Concepcion,25,1925
Delfina,25,1925
Samuel,25,1925
Daniel,25,1925
Arturo,25,1925
Nelida Maria,25,1925
Maria Celia,25,1925
Sebastian,25,1925
Celestina,25,1925
Flora,24,1925
Julio Cesar,24,1925
Bernardo,24,1925
Rogelio,24,1925
Maria Catalina,24,1925
Mauricio,24,1925
Estela,24,1925
Tomas,24,1925
Guillermo,24,1925
Delia Esther,24,1925
Pascual,24,1925
Moises,24,1925
Américo,23,1925
Elsa Maria,23,1925
Nelly,23,1925
